                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.766,                 2.0344,                 1.7373,                0.49709,                0.45819,                0.44946,                0.21917,                  1.771,                 1.9549,                 1.7683,               0.006733,               0.006733,               0.006733
                     36,                 1.7585,                 2.0226,                 1.7328,                0.50486,                0.45381,                0.45945,                0.22409,                 1.7644,                 1.9424,                 1.7657,               0.006634,               0.006634,               0.006634
                     37,                 1.7593,                 2.0152,                 1.7267,                0.51026,                0.45665,                0.46218,                0.22531,                 1.7657,                 1.9376,                 1.7643,               0.006535,               0.006535,               0.006535
                     38,                 1.7523,                  1.998,                  1.722,                0.51896,                0.45067,                0.46897,                0.22879,                 1.7625,                 1.9207,                 1.7585,               0.006436,               0.006436,               0.006436
                     39,                 1.7507,                  1.995,                 1.7217,                0.51517,                0.46563,                0.47061,                0.23036,                 1.7625,                 1.9118,                  1.761,               0.006337,               0.006337,               0.006337
                     40,                 1.7399,                 1.9899,                 1.7175,                0.51185,                 0.4679,                0.47087,                 0.2303,                 1.7528,                 1.9041,                 1.7512,               0.006238,               0.006238,               0.006238
                     41,                 1.7411,                 1.9888,                 1.7124,                0.51672,                  0.469,                0.47446,                0.23119,                 1.7508,                 1.9083,                 1.7554,               0.006139,               0.006139,               0.006139
                     42,                 1.7357,                 1.9815,                 1.7091,                0.52332,                 0.4653,                0.47684,                0.23239,                 1.7523,                 1.9035,                 1.7517,                0.00604,                0.00604,                0.00604
                     43,                 1.7302,                 1.9661,                 1.7076,                0.52044,                0.46868,                0.47869,                0.23485,                  1.753,                 1.8869,                 1.7526,               0.005941,               0.005941,               0.005941
                     44,                 1.7287,                 1.9616,                 1.7019,                0.51388,                0.47971,                0.48233,                0.23411,                 1.7543,                 1.8746,                 1.7521,               0.005842,               0.005842,               0.005842
                     45,                 1.7356,                 1.9432,                 1.6981,                0.52459,                0.47458,                0.48417,                0.23644,                 1.7539,                 1.8742,                   1.75,               0.005743,               0.005743,               0.005743
                     46,                 1.7298,                 1.9585,                 1.7022,                0.52068,                0.47012,                0.48312,                0.23768,                 1.7464,                 1.8674,                  1.743,               0.005644,               0.005644,               0.005644
                     47,                 1.7216,                 1.9322,                 1.6943,                0.52877,                0.46832,                 0.4849,                0.24004,                 1.7445,                 1.8598,                 1.7398,               0.005545,               0.005545,               0.005545
                     48,                 1.7237,                  1.931,                 1.6971,                0.53107,                0.46759,                0.48621,                0.24075,                 1.7428,                 1.8584,                 1.7389,               0.005446,               0.005446,               0.005446
                     49,                 1.7147,                 1.9219,                 1.6862,                0.52827,                 0.4707,                0.48714,                0.24166,                 1.7392,                 1.8507,                 1.7349,               0.005347,               0.005347,               0.005347
                     50,                 1.7215,                 1.9171,                 1.6853,                0.53192,                0.48183,                0.48993,                 0.2424,                 1.7402,                 1.8457,                 1.7373,               0.005248,               0.005248,               0.005248
                     51,                 1.7109,                 1.9096,                 1.6806,                0.53396,                0.47654,                0.49257,                0.24385,                 1.7374,                 1.8429,                 1.7358,               0.005149,               0.005149,               0.005149
                     52,                 1.7055,                 1.9002,                 1.6827,                0.54858,                0.47593,                0.49665,                0.24618,                 1.7343,                 1.8378,                 1.7344,                0.00505,                0.00505,                0.00505
                     53,                 1.6999,                 1.9016,                 1.6775,                0.54397,                0.47732,                0.49806,                0.24604,                 1.7335,                 1.8323,                 1.7308,               0.004951,               0.004951,               0.004951
                     54,                 1.7082,                 1.8899,                 1.6801,                0.54442,                0.47575,                0.49919,                0.24638,                 1.7336,                 1.8274,                   1.73,               0.004852,               0.004852,               0.004852
                     55,                 1.6951,                 1.8764,                 1.6666,                0.55092,                0.47575,                0.49902,                0.24661,                 1.7332,                 1.8265,                 1.7276,               0.004753,               0.004753,               0.004753
                     56,                 1.6857,                 1.8738,                 1.6668,                0.55663,                0.47757,                0.50136,                0.24757,                 1.7358,                 1.8216,                 1.7276,               0.004654,               0.004654,               0.004654
                     57,                 1.6862,                 1.8596,                 1.6644,                0.55839,                0.47149,                 0.5009,                0.24865,                  1.734,                 1.8175,                 1.7272,               0.004555,               0.004555,               0.004555
                     58,                 1.6897,                 1.8535,                 1.6606,                 0.5547,                0.47735,                0.50206,                0.24911,                 1.7329,                 1.8137,                 1.7247,               0.004456,               0.004456,               0.004456
                     59,                 1.6849,                 1.8456,                 1.6521,                 0.5469,                0.48022,                0.50276,                0.24951,                 1.7312,                  1.808,                 1.7216,               0.004357,               0.004357,               0.004357
                     60,                 1.6762,                 1.8327,                 1.6491,                 0.5489,                0.47939,                0.50476,                0.24975,                 1.7294,                 1.8078,                 1.7196,               0.004258,               0.004258,               0.004258
                     61,                  1.674,                 1.8193,                 1.6476,                0.54274,                0.48716,                0.50559,                0.24959,                 1.7297,                 1.8048,                 1.7193,               0.004159,               0.004159,               0.004159
                     62,                 1.6736,                 1.8309,                 1.6497,                0.54946,                0.48531,                0.50659,                0.25014,                  1.729,                 1.8008,                  1.719,                0.00406,                0.00406,                0.00406
                     63,                 1.6701,                 1.8167,                 1.6425,                0.54543,                0.48646,                0.50799,                0.25089,                 1.7295,                 1.7978,                 1.7191,               0.003961,               0.003961,               0.003961
                     64,                 1.6671,                 1.8051,                 1.6485,                0.54313,                0.48824,                0.50809,                 0.2518,                 1.7304,                 1.7953,                 1.7198,               0.003862,               0.003862,               0.003862
                     65,                 1.6634,                 1.8084,                 1.6397,                0.54253,                0.49002,                0.50878,                0.25195,                 1.7297,                 1.7929,                 1.7192,               0.003862,               0.003862,               0.003862
                     66,                 1.6649,                  1.803,                 1.6398,                0.54587,                0.48956,                0.50892,                0.25272,                 1.7307,                  1.791,                 1.7196,               0.003664,               0.003664,               0.003664
                     67,                 1.6576,                 1.8036,                 1.6403,                0.54832,                0.48675,                0.51016,                 0.2526,                 1.7309,                 1.7901,                  1.719,               0.003565,               0.003565,               0.003565
